id,firstName,lastName,birthDate,mail,dtContractStart,dtContractEnd,rolePrincipal,rolePrincipal.ID,manager.ID,department.ID
6,Chloe,Alibert,1963-02-23T00:00:00,calibert@example.org,2001-09-21T00:00:00,,Utilisateur,4,15,6
7,Marie-Françoise,Archer,1965-02-07T00:00:00,marcher@example.org,2001-10-08T00:00:00,,Utilisateur,4,15,12
8,Maurice,Bart,1979-01-02T00:00:00,mbart@example.org,2001-10-06T00:00:00,,Utilisateur,4,15,8
9,Antoine,Beaulinette,1977-07-19T00:00:00,abeaulinette@example.org,2001-09-20T00:00:00,,Manager,3,15,8
10,Peter,Benton,1977-07-18T00:00:00,pbenton@example.org,2024-09-02T00:00:00,,Administrateur UK / ES,22,35,11
11,Jessica,Berry,1961-11-20T00:00:00,jberry@example.org,2020-01-02T00:00:00,,Utilisateur,4,25,10
12,Maurice,Bouchard,1963-03-04T00:00:00,mbouchard@example.org,2001-10-04T00:00:00,,Manager,3,35,11
13,Ines,Bouquineau,1977-07-30T00:00:00,ibouquineau@example.org,2001-09-23T00:00:00,,Utilisateur,4,15,11
15,Marie,Bragoulet,1979-01-11T00:00:00,mbragoulet@example.org,2001-10-03T00:00:00,,Manager,3,35,12
16,Valentin,Bresnier,1996-02-12T00:00:00,vbresnier@example.org,2023-05-10T00:00:00,,Utilisateur,4,15,12
17,Chloe,Brown,1977-08-01T00:00:00,cbrown@example.org,2021-12-14T00:00:00,,Utilisateur,4,10,9
18,John,Carter,1969-08-12T00:00:00,jcarter@example.org,2007-01-01T00:00:00,,Utilisateur,4,25,10
19,Brigitte,Clisson,1977-07-23T00:00:00,bclisson@example.org,2007-02-07T00:00:00,,Utilisateur,4,15,12
20,Michel,Constant,1977-07-21T00:00:00,mconstant@example.org,2013-03-02T00:00:00,,Manager,3,35,13
21,Adam,Cox,1965-12-09T00:00:00,acox@example.org,2010-08-06T00:00:00,,Utilisateur,4,25,10
22,Jacques,Cretault,1983-07-28T00:00:00,jcretault@example.org,2007-08-01T00:00:00,,Utilisateur,4,15,7
23,Katie,Curtis,1971-12-29T00:00:00,kcurtis@example.org,2023-09-11T00:00:00,,Utilisateur,4,10,9
25,Alexander,Doherty,1970-11-14T00:00:00,adoherty@example.org,2004-05-04T00:00:00,,Manager,3,10,10
26,Rebecca,Douglas,1977-08-04T00:00:00,rdouglas@example.org,2006-09-18T00:00:00,,Utilisateur,4,10,9
27,Jean,Dupont,1975-10-08T00:00:00,jdupont@example.org,2006-03-09T00:00:00,,Utilisateur,4,15,14
28,Cécile,Epineau,1957-08-31T00:00:00,cepineau@example.org,2009-01-01T00:00:00,,Utilisateur,4,15,12
29,Denis,Estienne,1977-07-25T00:00:00,destienne@example.org,2011-01-01T00:00:00,,Utilisateur,4,20,13
30,Lilly,Evans,1961-06-26T00:00:00,levans@example.org,2021-12-14T00:00:00,,Utilisateur,4,25,10
31,Nicolas,Fromiau,1966-05-27T00:00:00,nfromiau@example.org,2000-11-06T00:00:00,,Utilisateur,4,20,13
32,Florence,Geste,1976-07-11T00:00:00,fgeste@example.ch,2007-06-25T00:00:00,,Utilisateur,4,15,13
33,Antonin,Gouache,1977-08-02T00:00:00,agouache@example.org,2004-10-04T00:00:00,,Utilisateur,4,15,13
35,Daniel,Hernandez,1998-05-01T00:00:00,dhernandez@example.org,2023-05-10T00:00:00,,Administrateur FR,2,35,14
36,Celine,Heulin,1961-06-26T00:00:00,cheulin@example.org,2006-04-03T00:00:00,,Utilisateur,4,15,7
39,Anaïs,Marceau,,amarceau@example.org,2023-09-11T00:00:00,,Utilisateur,4,9,14
40,Gregory,Pascal,,pgregory@example.org,2023-09-25T00:00:00,,Utilisateur,4,43,6
41,Olivier,Pichou,1987-02-22T00:00:00,opichou@example.org,2023-09-18T00:00:00,,Utilisateur,4,15,12
42,Jérôme,Recoquillon,1975-09-30T00:00:00,jrecoquillon@example.org,2024-06-01T00:00:00,,Utilisateur,4,35,14
44,Alexandre,Vigneau,,avigneau@example.org,2017-09-11T00:00:00,,Utilisateur,4,9,6
45,Noël,Flantier,1983-02-23T00:00:00,nflantier@example.org,2016-01-04T00:00:00,,Utilisateur,4,15,12
